date,crypto.com,ewm_short,sma_long,pos
"2025-12-19, 21:00:00",188548.2105,227189.5639369132,209752.1847657143,1
"2025-12-19, 22:00:00",187503.1881,224249.83239343815,209575.41929714286,1
"2025-12-19, 23:00:00",186681.0096,221466.95663096124,209442.34948428572,1
"2025-12-20, 00:00:00",182961.7669,218614.72035459374,209304.49044857145,1
"2025-12-20, 01:00:00",178842.0661,215668.59781721642,209180.58577428572,1
"2025-12-20, 02:00:00",173733.883,212562.32264557073,209069.75980571427,1
"2025-12-20, 03:00:00",153785.6516,208208.49516071365,208678.5638242857,-1
"2025-12-20, 04:00:00",149030.0331,203824.90537843856,208230.12297000003,-1
"2025-12-20, 05:00:00",146553.5391,199582.58195040608,207765.03601142857,-1
"2025-12-20, 06:00:00",143727.8639,195445.1954281538,207274.48576285713,-1
"2025-12-20, 07:00:00",136723.4813,191095.4388260683,206689.93906714287,-1
"2025-12-20, 08:00:00",132925.7321,186786.57166117438,206092.44437,-1
"2025-12-20, 09:00:00",130204.9983,182595.34400479108,205484.33688857142,-1
"2025-12-20, 10:00:00",128738.7119,178605.96384888064,204868.38605,-1
"2025-12-20, 11:00:00",126836.3865,174771.18034155614,204383.00966,-1
"2025-12-20, 12:00:00",121493.6589,170824.69727181125,203843.33450285715,-1
"2025-12-20, 13:00:00",119962.7717,167057.14722945486,203060.49128857144,-1
"2025-12-20, 14:00:00",99937.3469,162085.31016801376,201801.49718,-1
"2025-12-20, 15:00:00",80390.3156,156033.82908890164,200217.44638857144,-1
"2025-12-20, 16:00:00",67867.0566,149502.9570526867,198414.49358571428,-1
"2025-12-20, 17:00:00",54534.2435,142468.23753026547,196334.8998314286,-1
"2025-12-20, 18:00:00",46430.4078,135354.32421691244,194107.71646142856,-1
"2025-12-20, 19:00:00",41610.1622,128410.31221565967,191816.04401285714,-1
"2025-12-20, 20:00:00",33795.7353,121401.82503672192,189403.5057114286,-1
"2025-12-20, 21:00:00",30427.1406,114662.95952289065,186934.25825428573,-1
"2025-12-20, 22:00:00",28933.5324,108312.6315878617,184458.11383285714,-1
"2025-12-20, 23:00:00",28404.7374,102393.52831468676,181981.48989,-1
"2025-12-21, 00:00:00",26448.5661,96767.9755580433,179444.59567142857,-1
"2025-12-21, 01:00:00",26667.5597,91575.35216115121,176888.9455657143,-1
"2025-12-21, 02:00:00",27482.2615,86827.71581588074,174352.36349857142,-1
"2025-12-21, 03:00:00",27044.8646,82399.35646655624,171831.93844857145,-1
"2025-12-21, 04:00:00",26133.2836,78231.4992171817,169302.32733714287,-1
"2025-12-21, 05:00:00",25272.3853,74308.60188998305,166760.96980142858,-1
"2025-12-21, 06:00:00",24972.0067,70654.03928331764,164208.06712,-1
"2025-12-21, 07:00:00",24196.1779,67212.71621788671,161646.77540285714,-1
"2025-12-21, 08:00:00",24881.5054,64077.070972117326,159111.29997285714,-1
"2025-12-21, 09:00:00",27234.2915,61347.97619640493,156613.14895,-1
"2025-12-21, 10:00:00",28228.3029,58894.6670633379,154131.94413,-1
"2025-12-21, 11:00:00",28380.3384,56634.34642160917,151436.3480042857,-1
"2025-12-21, 12:00:00",30334.3315,54686.197168156636,148733.2382142857,-1
"2025-12-21, 13:00:00",39818.6489,53584.89729644133,146368.78903,-1
"2025-12-21, 14:00:00",44803.9541,52934.457059667904,144311.9183657143,-1
"2025-12-21, 15:00:00",46740.4514,52475.641825618426,142012.24933428573,-1
"2025-12-21, 16:00:00",49282.8455,52239.13839409114,139741.7038557143,-1
"2025-12-21, 17:00:00",51225.4805,52164.05262415846,137478.97065,-1
"2025-12-21, 18:00:00",53512.741,52263.955466813386,135147.8179657143,-1
"2025-12-21, 19:00:00",55446.2107,52499.67807667907,132741.14098285712,-1
"2025-12-21, 20:00:00",56804.8788,52818.5818339621,130346.76883714287,-1
"2025-12-21, 21:00:00",58091.804,53209.19088329824,127980.2079657143,-1
"2025-12-21, 22:00:00",59175.8798,53651.16784009096,125587.91029142858,-1
"2025-12-21, 23:00:00",60672.454,54171.26311119534,123201.16094857143,-1
"2025-12-22, 00:00:00",76473.906,55823.310732588274,121042.54331428574,-1
"2025-12-22, 01:00:00",81770.2789,57745.30837461878,118705.56586857143,-1
"2025-12-22, 02:00:00",90524.9611,60173.43079872109,116439.54637571429,-1
"2025-12-22, 03:00:00",93617.8107,62650.79227288991,114200.26253285714,-1
"2025-12-22, 04:00:00",96527.5243,65160.17983045363,111982.96239714285,-1
"2025-12-22, 05:00:00",98339.1177,67617.8789319015,109700.97190857143,-1
"2025-12-22, 06:00:00",100094.4882,70023.5536925014,107417.68656857143,-1
"2025-12-22, 07:00:00",101080.2916,72324.05279676056,105136.8044442857,-1
"2025-12-22, 08:00:00",104668.7849,74719.958878482,102905.22328571428,-1
"2025-12-22, 09:00:00",104982.7825,76961.64951711295,100662.23282857143,-1
"2025-12-22, 10:00:00",105785.8113,79096.77261214163,98394.54108428572,-1
"2025-12-22, 11:00:00",107023.9475,81165.45223346447,96400.94733714286,-1
"2025-12-22, 12:00:00",111824.4705,83436.49062357823,94551.58437428571,-1
"2025-12-22, 13:00:00",105587.9138,85077.33678479465,92599.23419571428,-1
"2025-12-22, 14:00:00",114307.1996,87242.51180814319,90772.9315057143,-1
"2025-12-22, 15:00:00",127022.8139,90189.20085198442,89428.86660000001,1
"2025-12-22, 16:00:00",131918.6047,93280.26780368928,88237.93093714285,1
"2025-12-22, 17:00:00",136534.9731,96484.32004786046,87249.65964285715,1
"2025-12-22, 18:00:00",139970.7497,99705.53705913006,86449.87549571428,1
"2025-12-22, 19:00:00",148353.3581,103309.07935845378,85875.66331857142,1
"2025-12-22, 20:00:00",157159.5369,107298.00213930906,85442.18258714284,1
"2025-12-22, 21:00:00",159344.6889,111153.31226973061,85051.66372,1
"2025-12-22, 22:00:00",159858.0632,114761.07159789871,84721.61081,1
"2025-12-22, 23:00:00",159205.3107,118053.23745731363,84441.08573285714,1
"2025-12-23, 00:00:00",146616.3192,120169.02129010523,84053.69196428571,1
"2025-12-23, 01:00:00",142904.9709,121853.16570565301,83898.25366857143,1
"2025-12-23, 02:00:00",137916.3739,123043.03297930835,83739.48710857143,1
"2025-12-23, 03:00:00",136816.103,124063.2603882485,83600.38087857144,1
"2025-12-23, 04:00:00",135286.9822,124894.64718911899,83479.79685428573,1
"2025-12-23, 05:00:00",136328.2308,125741.57930844351,83474.15041857143,1
"2025-12-23, 06:00:00",140112.3025,126806.07732263287,83576.81571,1
"2025-12-23, 07:00:00",140113.4349,127791.80751354895,83718.36480428572,1
"2025-12-23, 08:00:00",136604.2068,128444.57783106384,83830.72901714286,1
"2025-12-23, 09:00:00",136731.3608,129058.41360654059,83972.08579285715,1
"2025-12-23, 10:00:00",136458.8001,129606.5903838339,84185.87352428571,1
"2025-12-23, 11:00:00",136160.9821,130092.10088132769,84417.27653,1
"2025-12-23, 12:00:00",133113.505,130315.90859382192,84891.2216457143,1
"2025-12-23, 13:00:00",137181.2793,130824.45457205734,85702.52112714286,1
"2025-12-23, 14:00:00",140060.0589,131508.5734111642,86733.84973142858,1
"2025-12-23, 15:00:00",131600.6706,131515.39542515203,87834.79869000001,1
"2025-12-23, 16:00:00",135257.5908,131792.59508254819,89103.75844714286,1
"2025-12-23, 17:00:00",136261.192,132123.60226161868,90455.91601571429,1
"2025-12-23, 18:00:00",137854.8292,132548.13759038766,91942.4745,1
"2025-12-23, 19:00:00",131401.5341,132463.20399850712,93384.96583571429,1
"2025-12-23, 20:00:00",130157.3293,132292.39846528438,94831.02007714286,1
"2025-12-23, 21:00:00",130426.9116,132154.21425304108,96288.47970857144,1
"2025-12-23, 22:00:00",130806.7092,132054.39906392692,97779.31032428572,1
"2025-12-23, 23:00:00",131733.6672,132030.64114808047,99280.25471714286,1
"2025-12-24, 00:00:00",131210.3714,131969.88042600045,100762.08485857143,1
"2025-12-24, 01:00:00",130771.8283,131881.13582407447,102243.89862571428,1
"2025-12-24, 02:00:00",130457.1444,131775.65497784675,103734.23949428572,1
"2025-12-24, 03:00:00",132116.858,131800.92927578403,105260.58910428571,1
"2025-12-24, 04:00:00",132535.8266,131855.36611461485,106797.21510285715,1
"2025-12-24, 05:00:00",132381.35,131894.32788390265,108342.71756142857,1
"2025-12-24, 06:00:00",128685.1995,131656.61467028022,109825.62747714286,1
"2025-12-24, 07:00:00",128644.9165,131433.52591692613,111274.35069142858,1
"2025-12-24, 08:00:00",129466.0207,131287.78478974642,112720.60380285713,1
"2025-12-24, 09:00:00",129237.7334,131135.9291312467,114161.42373142857,1
"2025-12-24, 10:00:00",128928.4484,130972.41204004324,115569.91111571428,1
"2025-12-24, 11:00:00",128589.9322,130795.9320518919,116838.07230571429,1
"2025-12-24, 12:00:00",126145.1282,130451.42806286285,118000.08907857143,1
"2025-12-24, 13:00:00",118421.9104,129560.35268042855,119024.10992142858,1
"2025-12-24, 14:00:00",113092.1684,128340.48717817459,119935.67167714286,1
"2025-12-24, 15:00:00",112854.2077,127193.35536497647,120816.08206571429,1
"2025-12-24, 16:00:00",110781.6216,125977.67138238561,121634.20893142857,1
"2025-12-24, 17:00:00",108123.0003,124655.10315406075,122386.73449714285,1
"2025-12-24, 18:00:00",103450.3337,123084.37949079699,123053.09813857143,1
"2025-12-24, 19:00:00",101206.5191,121463.79723962683,123669.02264,-1
"2025-12-24, 20:00:00",93552.8908,119396.32268854335,124160.12279714287,-1
"2025-12-24, 21:00:00",91364.0771,117319.86005235497,124598.5745557143,-1
"2025-12-24, 22:00:00",91321.2649,115394.03818921758,124810.67968285714,-1
"2025-12-24, 23:00:00",89850.9297,113501.95607890516,124926.11755142856,-1
"2025-12-25, 00:00:00",88893.5911,111679.1142286159,124902.81226571431,-1
"2025-12-25, 01:00:00",87421.8587,109882.28048575546,124814.29866571429,-1
"2025-12-25, 02:00:00",83205.725,107906.23933866248,124623.98724714287,-1
"2025-12-25, 03:00:00",79880.8033,105830.28111357636,124360.29704142857,-1
"2025-12-25, 04:00:00",78456.6081,103802.60163108923,124051.18446857142,-1
"2025-12-25, 05:00:00",76607.0828,101788.11875471224,123701.5672,-1
"2025-12-25, 06:00:00",75189.9857,99817.88667658542,123280.44149714288,-1
"2025-12-25, 07:00:00",74268.8984,97925.36902646799,122841.67172428571,-1
"2025-12-25, 08:00:00",75071.0442,96232.45607635925,122402.88933714286,-1
"2025-12-25, 09:00:00",72884.7564,94502.99684107339,121915.18660714285,-1
"2025-12-25, 10:00:00",73442.2179,92942.9391417346,121366.86871285715,-1
"2025-12-25, 11:00:00",72902.2222,91458.441590495,120899.93026142854,-1
"2025-12-25, 12:00:00",71900.4711,90009.70303564351,120294.11985428573,-1
"2025-12-25, 13:00:00",71027.1718,88603.58961078103,119494.18211,-1
"2025-12-25, 14:00:00",60574.1987,86527.33843220465,118474.97631,-1
"2025-12-25, 15:00:00",62319.3693,84734.15553352282,117414.75339857141,-1
"2025-12-25, 16:00:00",57258.6314,82698.93152363224,116233.15170857143,-1
"2025-12-25, 17:00:00",53894.1592,80565.24468484467,114883.73458142857,-1
"2025-12-25, 18:00:00",53089.7481,78530.02271559692,113397.02331285714,-1
"2025-12-25, 19:00:00",52372.2827,76592.41234407121,111868.84608142858,-1
"2025-12-25, 20:00:00",52433.5533,74802.86722969556,110334.2102257143,-1
"2025-12-25, 21:00:00",51304.6414,73062.25790897736,108792.77209285715,-1
"2025-12-25, 22:00:00",51091.0901,71434.76399720125,107428.12596285714,-1
"2025-12-25, 23:00:00",56236.3835,70308.9580344456,106190.0032857143,-1
"2025-12-26, 00:00:00",60654.9195,69593.84406893111,105086.26822285715,-1
"2025-12-26, 01:00:00",63064.8032,69110.21141197324,104032.67822571429,-1
"2025-12-26, 02:00:00",78365.632,69795.79812219745,103219.51608,-1
"2025-12-26, 03:00:00",81612.6272,70671.11879462727,102437.8646,-1
"2025-12-26, 04:00:00",83744.9725,71639.55240243266,101632.61702857143,-1
"2025-12-26, 05:00:00",84007.0791,72555.66549114135,100831.09766,-1
"2025-12-26, 06:00:00",85476.3383,73512.75236587161,100100.69953857143,-1
"2025-12-26, 07:00:00",87669.4847,74561.39920543668,99399.81559428571,-1
"2025-12-26, 08:00:00",86853.7309,75471.94229392285,98691.17174857143,-1
"2025-12-26, 09:00:00",87622.1781,76371.95976103969,97997.76026285713,-1
"2025-12-26, 10:00:00",85995.6823,77084.82809725897,97324.64850999998,-1
"2025-12-26, 11:00:00",86113.7211,77753.63498635091,96595.11196428572,-1
"2025-12-26, 12:00:00",86793.405,78423.24757995454,95834.15976571427,-1
"2025-12-26, 13:00:00",88205.7022,79147.87384810606,95214.23164571427,-1
"2025-12-26, 14:00:00",99836.9712,80680.39957787599,94708.22279428573,-1
"2025-12-26, 15:00:00",105699.7698,82533.68626099628,94271.63104857142,-1
"2025-12-26, 16:00:00",107378.4125,84374.03635277435,93836.25366714285,-1
"2025-12-26, 17:00:00",110784.1491,86330.34100071699,93541.71959571428,-1
"2025-12-26, 18:00:00",111353.3356,88183.89615621945,93273.09111428571,-1
"2025-12-26, 19:00:00",111317.3193,89897.48305575876,93000.09693857143,-1
"2025-12-26, 20:00:00",112873.514,91599.4112738507,92743.90843571429,-1
"2025-12-26, 21:00:00",114973.4424,93330.82098689879,92504.47665285715,1
"2025-12-26, 22:00:00",113945.5717,94857.83955823962,92257.83665714285,1
"2025-12-26, 23:00:00",108813.5451,95891.59552429595,91944.14689714285,1
"2025-12-27, 00:00:00",103649.9924,96466.29158916292,91561.18758285714,1
"2025-12-27, 01:00:00",100488.755,96764.2518418175,91109.35754,1
"2025-12-27, 02:00:00",84262.0141,95838.16015723844,90419.73164714285,1
"2025-12-27, 03:00:00",80848.5072,94727.81549373928,89683.54817857142,1
"2025-12-27, 04:00:00",78283.9791,93509.75353864749,88963.53074428572,1
"2025-12-27, 05:00:00",77059.6224,92291.22530615507,88226.59797142856,1
"2025-12-27, 06:00:00",75270.53629999999,91030.43352792137,87452.37676571429,1
"2025-12-27, 07:00:00",73080.9418,89700.84154807533,86650.1368857143,1
"2025-12-27, 08:00:00",70465.7326,88276.01866303271,85814.95523142857,1
"2025-12-27, 09:00:00",69648.3206,86896.18917688214,84972.93220857144,1
"2025-12-27, 10:00:00",70144.297,85655.30827489086,84172.9203342857,1
"2025-12-27, 11:00:00",69913.6826,84489.26192860266,83479.94565142856,1
"2025-12-27, 12:00:00",68813.9958,83328.13110426172,82847.40032857143,1
"2025-12-27, 13:00:00",66512.5354,82082.53142246456,82185.37643857142,-1
"2025-12-27, 14:00:00",53308.8358,79951.14656154125,81364.33664142858,-1
"2025-12-27, 15:00:00",39097.6038,76924.95820883449,80378.25954857143,-1
"2025-12-27, 16:00:00",34007.1442,73745.86087484675,79386.21398428571,-1
"2025-12-27, 17:00:00",29185.5692,70445.09852856181,78357.34327142857,-1
"2025-12-27, 18:00:00",26648.2621,67200.88842274241,77401.56286142857,-1
"2025-12-27, 19:00:00",25666.492,64124.26646550223,76463.02593142858,-1
"2025-12-27, 20:00:00",22954.2022,61074.63207546502,75486.35360714287,-1
"2025-12-27, 21:00:00",20291.7053,58053.67453654169,74492.65040142857,-1
"2025-12-27, 22:00:00",22407.0111,55413.18094864971,73542.84211571429,-1
"2025-12-27, 23:00:00",25189.7206,53174.40610800899,72653.81157142858,-1
"2025-12-28, 00:00:00",25001.0969,51087.49431482313,71822.3168842857,-1
"2025-12-28, 01:00:00",25520.8063,49193.665572984384,71045.74549857143,-1
"2025-12-28, 02:00:00",25330.8381,47426.04872313369,70286.80592714286,-1
"2025-12-28, 03:00:00",25063.3707,45769.55405475341,69550.46718285714,-1
"2025-12-28, 04:00:00",25528.969,44270.25145810501,68841.02408714285,-1
"2025-12-28, 05:00:00",27976.1558,43063.281409356496,68179.69919285714,-1
"2025-12-28, 06:00:00",28283.1888,41968.45973458934,67511.30125857143,-1
"2025-12-28, 07:00:00",28484.0676,40969.61587276791,66877.00570428571,-1
